Tensao,Corrente
11.74,974.78
11.74,945.33
11.74,1002.48
11.74,982.75
11.76,956.84
11.76,976.06
11.74,931.80
11.74,965.99
11.74,956.19
11.74,952.29
11.74,1002.71
11.69,1087.87
11.74,988.54
11.74,972.36
11.71,932.48
11.74,954.84
11.74,985.15
11.74,980.64
11.74,990.46
11.76,1048.59
11.69,1011.41
11.74,1073.41
11.71,1000.53
11.71,998.69
11.74,1048.28
11.74,916.38
11.74,967.99
11.67,1009.09
11.71,1010.27
11.71,985.84
11.74,946.14
11.69,1075.40
11.74,990.38
11.74,1109.53
11.74,1249.55
11.64,1366.88
11.67,1195.28
11.74,1178.37
11.59,1103.32
11.74,1117.56
11.74,1023.84
11.74,965.61
11.74,1032.31
11.74,1082.22
11.74,1092.19
11.74,1053.22
11.74,1054.35
11.74,1066.87
11.76,932.86
11.67,1032.30
11.74,999.10
11.74,1041.05
11.69,1131.57
11.74,1003.04
11.69,1059.97
11.74,974.95
11.74,1018.90
11.74,957.28
11.71,1005.49
11.74,992.96
11.74,1103.29
11.76,917.55
11.76,979.30
11.74,1012.82
11.74,932.52
11.71,1078.46
11.71,1049.07
11.74,940.23
11.74,925.74
11.74,893.87
11.74,933.10
11.74,928.60
11.74,914.55
11.74,931.04
11.76,929.20
11.76,902.07
11.74,930.49
11.76,906.62
11.74,911.52
11.76,931.05
11.76,911.28
11.74,933.94
11.74,925.28
11.74,925.23
11.76,921.58
11.74,911.52
11.76,928.51
11.76,910.01
11.76,908.30
11.76,917.46
11.74,914.24
11.74,909.88
11.76,904.52
11.76,915.60
11.76,932.35
11.74,942.08
11.76,928.37
11.74,903.44
11.74,943.72
11.74,930.67
11.76,928.04
11.76,917.73
11.74,982.47
11.76,928.03
11.76,909.39
11.74,925.54
11.76,924.88
11.74,911.10
11.74,915.51
11.74,911.17
11.74,899.11
11.74,946.39
11.74,957.52
11.74,915.08
11.74,923.82
11.74,914.22
11.74,909.64
11.74,930.39
11.74,931.34
11.76,915.00
11.76,902.98
11.71,1122.05
11.74,1000.91
11.74,1043.92
11.74,980.87
11.74,1212.41
11.64,978.40
11.74,1051.63
11.74,915.99
11.69,978.49
11.74,991.65
11.74,939.75
11.76,931.21
11.76,917.48
11.74,916.06
11.74,925.40
11.74,907.80
11.74,927.24
11.74,933.41
11.76,929.43
11.76,912.47
11.74,909.65
11.74,894.97
11.74,902.74
11.74,1018.62
11.71,1013.99
11.71,1045.62
11.74,1119.39
11.74,1129.16
11.71,1065.68
11.74,998.81
11.71,1002.72
11.74,1013.35
11.67,1147.23
11.74,1164.26
11.71,1091.78
11.74,985.86
11.71,996.27
11.71,1162.27
11.71,1229.71
11.67,1097.29
11.71,1083.10
11.71,1007.24
11.71,1064.42
11.67,1100.61
11.74,1150.96
11.71,1174.84
11.69,1156.71
11.71,1054.48
11.74,1045.07
11.76,1014.01
11.74,1005.21
11.74,1016.46
11.74,1013.52
11.74,999.05
11.74,1052.50
11.74,1030.60
11.74,1005.80
11.74,1020.75
11.76,1023.88
11.74,1010.87
11.74,1032.27
11.71,1051.65
11.74,1038.16
11.74,1005.35
11.71,1181.80
11.71,1140.54
11.71,1181.14
11.71,1249.09
11.67,1246.18
11.69,1153.81
11.71,1172.87
11.69,1135.01
11.71,1175.65
11.71,1127.37
11.71,1173.50
11.69,1147.63
11.69,1222.94
11.69,1105.14
11.69,1207.69
11.69,1206.17
11.71,1174.96
11.69,1096.49
11.69,1110.08
11.71,1087.32
11.69,1168.43
11.69,1198.45
11.69,1196.80
11.64,1211.25
11.69,1090.32
11.69,1109.32
11.67,1164.47
11.69,1210.60
11.69,1195.02
11.69,1333.55
11.69,1184.80
11.69,1092.27
11.67,1199.32
11.69,1138.50
11.71,1103.97
11.69,1149.90
11.69,1092.52
11.69,1077.24
11.69,1117.32
11.69,1143.00
11.69,1107.45
11.69,1150.65
11.69,1090.78
11.67,1184.48
11.69,1262.49
11.69,1110.26
11.69,1107.52
11.64,1195.50
11.69,1222.37
11.67,1319.96
11.67,1268.77
11.69,1232.77
11.71,1293.21
11.71,1203.96
11.69,1180.55
11.69,1118.85
11.71,1113.30
11.71,1114.55
11.71,1109.37
11.76,764.39
11.86,395.39
11.86,411.93
11.86,417.22
11.89,417.32
11.86,419.24
11.76,812.36
11.76,955.95
11.76,928.39
11.76,904.04
11.76,918.12
11.76,896.80
11.76,888.08
11.76,900.66
11.76,907.64
11.76,882.64
11.76,914.59
11.71,1046.82
11.71,1035.46
11.71,1058.42
11.74,1050.49
11.71,1029.00
11.71,1028.32
11.71,1044.14
11.71,1034.97
11.71,1049.87
11.69,1206.51
11.69,1132.25
11.62,1270.71
11.71,1078.45
11.62,1119.28
11.71,1167.89
11.71,1104.36
11.69,1037.40
11.69,1077.18
11.71,1066.69
11.71,1062.70
11.71,1084.80
11.71,1058.60
11.71,1050.43
11.69,1080.20
11.69,1033.05
11.71,1063.47
11.69,1137.75
11.69,1145.84
11.69,1160.18
11.59,1231.87
11.71,1059.56
11.69,1105.37
11.71,1106.30
11.69,1128.18
11.71,1061.47
11.69,1095.24
11.69,1098.37
11.69,1040.46
11.69,1078.97
11.71,1061.27
11.71,1067.29
11.71,1238.91
11.69,1137.15
11.71,1050.32
11.69,1052.66
11.62,1288.86
11.69,1359.15
11.64,1180.54
11.71,1133.02
11.67,1252.85
11.71,1164.83
11.67,1303.44
11.62,1240.45
11.69,1115.67
11.69,1257.90
11.69,1094.85
11.69,1054.91
11.69,1067.51
11.69,1073.83
11.67,1117.07
11.71,1129.90
11.71,1089.45
11.69,1057.05
11.69,1085.07
11.69,1063.85
11.69,1073.47
11.67,1157.33
11.69,1123.22
11.69,1081.88
11.69,1092.32
11.69,1057.26
11.71,1070.80
11.69,1124.87
11.67,1105.63
11.71,1078.02
11.62,1106.77
11.69,1167.53
11.69,1086.56
11.71,1058.37
11.69,1063.60
11.69,1028.79
11.69,1024.95
11.69,1052.00
11.71,1067.50
11.69,1065.41
11.69,1098.34
